Shipped,Wasted,Stockouts,% Waste,% Stockouts,Reward
108.23300170898438,102.0,0.0,94.24112644889624,0.0,-102.0
85.0,65.0,0.0,76.47058823529412,0.0,-65.0
165.0,65.0,12.0,39.39393939393939,7.272727272727272,-77.0
212.0,124.0,2.0,58.490566037735846,0.9433962264150944,-126.0
131.0,69.0,2.0,52.67175572519084,1.5267175572519085,-71.0
176.0,144.0,0.0,81.81818181818183,0.0,-144.0
101.0,53.0,0.0,52.47524752475248,0.0,-53.0
212.3280029296875,183.0,0.0,86.18740697175046,0.0,-183.0
362.4219970703125,289.2590026855469,0.0,79.81276109723233,0.0,-289.2590026855469
357.1710205078125,163.58599853515625,12.323997497558594,45.800467883025824,3.4504472059454296,-175.91000366210938
348.1789855957031,38.82100296020508,136.01300048828125,11.149726022030253,39.064103841756896,-174.83401489257812
122.0,40.0,30.0,32.78688524590164,24.59016393442623,-70.0
202.0,133.0,58.0,65.84158415841584,28.71287128712871,-191.0
288.0,166.0,96.0,57.638888888888886,33.33333333333333,-262.0
110.0,93.0,62.0,84.54545454545455,56.36363636363636,-155.0
74.0,55.0,0.0,74.32432432432432,0.0,-55.0
100.0,75.0,40.0,75.0,40.0,-115.0
69.0,49.0,17.0,71.01449275362319,24.637681159420293,-66.0
152.0,74.7490005493164,15.109001159667969,49.1769740456029,9.94013234188682,-89.85799407958984
326.0599975585937,127.94000244140624,34.641998291015625,39.2381780651934,10.624424507882289,-162.58200073242188
257.6630249023437,212.3370056152344,37.970001220703125,82.40879951468074,14.736301894730158,-250.3070068359375
105.0,69.0,25.0,65.71428571428571,23.809523809523807,-94.0
144.0,68.0,81.0,47.22222222222222,56.25,-149.0
331.0,242.0,173.0,73.1117824773414,52.26586102719033,-415.0
