Shipped,Wasted,Stockouts,% Waste,% Stockouts,Reward
190.0,114.0,70.0,60.0,36.84210526315789,-184.0
95.0,47.0,6.0,49.47368421052632,6.315789473684211,-53.0
113.0,33.0,34.0,29.20353982300885,30.08849557522124,-67.0
162.0,56.0,144.0,34.5679012345679,88.88888888888889,-200.0
132.0,108.21400451660156,0.0,81.98030645197089,0.0,-108.21400451660156
76.0,36.0,18.0,47.368421052631575,23.684210526315788,-54.0
188.0,86.0,1.0,45.74468085106383,0.5319148936170213,-87.0
79.42300415039062,74.0,0.0,93.17199820328888,0.0,-74.0
62.0,39.0,4.0,62.903225806451616,6.451612903225806,-43.0
106.0,38.0,53.0,35.84905660377358,50.0,-91.0
202.0,111.0,22.0,54.95049504950495,10.891089108910892,-133.0
84.0,30.0,21.0,35.714285714285715,25.0,-51.0
128.0,50.0,20.0,39.0625,15.625,-70.0
82.0,12.0,2.0,14.634146341463412,2.4390243902439024,-14.0
164.90000915527344,75.20500183105469,0.0,45.60642671659285,0.0,-75.20500183105469
225.1719970703125,107.50900268554688,55.25,47.745280978245255,24.53679885547561,-162.75900268554688
270.0,75.9010009765625,58.49500274658203,28.111481843171298,21.66481583206742,-134.39601135253906
336.79498291015625,8.205001831054688,147.39700317382812,2.436200729641944,43.7646077445126,-155.60198974609375
103.0,29.0,43.0,28.155339805825243,41.74757281553398,-72.0
134.0,76.0,69.0,56.71641791044776,51.49253731343284,-145.0
230.0,90.0,160.0,39.130434782608695,69.56521739130434,-250.0
73.0,56.0,73.0,76.71232876712328,100.0,-129.0
53.0,33.0,4.0,62.264150943396224,7.547169811320755,-37.0
65.0,36.0,56.0,55.38461538461539,86.15384615384616,-92.0
53.0,37.0,24.0,69.81132075471697,45.28301886792453,-61.0
120.20500183105467,40.189002990722656,30.10900115966797,33.4337193781731,25.04804350985782,-70.2979965209961
240.8909912109375,47.10900115966797,106.81099700927734,19.556148996214105,44.339971566536384,-153.9199981689453
157.65699768066406,87.34300231933594,68.97000122070312,55.40065052884625,43.746869619071774,-156.31300354003906
89.0,38.0,27.0,42.69662921348314,30.337078651685395,-65.0
110.0,42.0,96.0,38.18181818181819,87.27272727272727,-138.0
407.0,263.0,197.0,64.61916461916462,48.4029484029484,-460.0
